Test,n_sources,"ma , _out_degree",n_nodes,"ma , _instances",n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges
mul_hi-int3,2,4,30,1,21,24,4,1,1,1,0,57
mul_hi-int2,2,4,21,1,14,17,4,1,1,1,0,38
mul_hi-int4,2,4,39,1,28,31,4,1,1,1,0,76
convert-float-uchar_sat_rtz,7,4,20,1,11,13,6,1,1,3,0,28
mad_hi-char,4,1,13,1,5,9,6,1,1,15,0,12
compress-mask,8,8,91,2,59,68,9,2,1,0,0,152
min-uint,2,1,6,1,1,4,3,1,1,8,0,5
rotate-short3,2,2,15,1,8,11,4,1,1,3,0,20
shl-basic-char-1_pma,2,8,19,1,8,10,3,1,1,8,0,32
convert-int3-ushort3,1,4,6,1,0,2,2,1,1,0,0,8
convert-float-int,1,1,4,1,1,3,3,1,1,0,0,3
mean_norm_v16,2,16,147,1,112,115,6,1,1,0,0,208
pma_acopy_2D5_deprecatedAPI,2,8,19,1,8,10,3,1,1,1,0,32
convert-ushort-float_rte,1,1,4,1,1,3,3,1,1,0,0,3
convert-ushort-float_rtn,1,1,4,1,1,3,3,1,1,15,0,3
convert-uchar3-short3,1,2,4,1,0,2,2,1,1,1,0,4
convert-char8-int8,3,4,16,1,8,10,3,1,1,3,0,28
convert-ushort-float_rtp,1,1,4,1,1,3,3,1,1,15,0,3
mad_hi-char3,5,2,19,1,7,11,5,1,1,12,0,21
convert-ushort-float_rtz,1,1,4,1,1,3,3,1,1,12,0,3
mad_hi-char4,4,2,17,1,6,10,5,1,1,2,0,20
bitselect-int,4,2,12,1,4,8,4,1,1,8,0,12
mad_hi-char2,4,1,11,1,3,7,5,1,1,12,0,10
mul-basic-int-1_pma,2,8,43,1,24,27,3,1,1,0,0,88
mad_hi-char8,4,4,29,1,12,16,5,1,1,12,0,40
masked_load_short4,2,2,7,1,2,4,3,1,1,2,0,8
bitselect-uint3,4,3,26,1,12,16,4,1,1,12,0,36
short2fp_with_shift,2,8,23,1,16,18,4,1,1,2,0,36
bitselect-uint4,4,4,33,1,16,20,4,1,1,15,0,48
shl-complicated-char-2_pma,2,8,59,1,40,43,5,1,1,1,0,96
bitselect-uint8,4,8,61,1,32,36,4,1,1,12,0,96
sub_sat-int3,5,6,42,1,30,33,5,1,2,1,0,84
sub_sat-int2,5,6,30,1,20,23,5,1,2,8,0,56
sub_sat-int4,5,6,54,1,40,43,5,1,2,1,0,112
isgreaterequal-float8,2,8,35,1,16,19,4,1,1,12,0,48
convert-uint8-char8,1,8,10,1,0,2,2,1,1,0,0,16
convert-float4-short4,1,4,10,1,4,6,3,1,1,1,0,12
isgreaterequal-float2,2,2,11,1,4,7,4,1,1,1,0,12
isgreaterequal-float3,2,3,15,1,6,9,4,1,1,12,0,18
isgreaterequal-float4,2,4,19,1,8,11,4,1,1,12,0,24
ocl-dempster-shafer,3,4,29,1,21,24,6,1,1,0,1,48
hadd-char8,3,4,20,1,8,11,4,1,1,12,0,28
"e , p2-float",1,1,4,1,1,3,3,1,1,12,1,3
hadd-char4,3,2,12,1,4,7,4,1,1,12,0,14
hadd-char2,3,1,8,1,2,5,4,1,1,12,0,7
hadd-char3,6,2,17,1,6,10,4,2,1,12,0,17
clamp-uint3,3,3,19,1,6,10,4,1,1,14,0,24
clamp-uint2,3,2,14,1,4,8,4,1,1,10,0,16
clamp-uint4,3,4,24,1,8,12,4,1,1,14,0,32
select-int3,3,3,22,1,9,13,4,1,2,14,0,36
clamp-uint8,3,8,44,1,16,20,4,1,1,12,0,64
"pad- , -split_pma",1,1,4,1,1,3,3,1,1,1,0,3
select-int4,3,4,28,1,12,16,4,1,2,10,0,48
abs-diff-short,2,8,35,1,16,19,3,1,2,15,0,64
masked_store_splat_data_compare_2Conds_or,5,4,36,2,22,29,7,1,1,1,0,60
vec_step-ushort,1,1,3,1,0,2,2,1,1,12,0,2
abs_diff-short,2,1,6,1,1,4,3,1,1,0,0,5
any-short,4,1,7,1,1,4,3,2,1,0,0,5
convert-float4-ushort4,1,4,10,1,4,6,3,1,1,10,0,12
convert-ushort3-uint3,3,2,6,1,0,3,2,2,1,8,0,5
min-float,2,1,6,1,1,4,3,1,1,12,0,5
"ma , pool3_i32",1,1,4,2,1,4,3,1,1,14,0,3
hsub_char16,3,8,36,1,16,19,4,1,1,14,0,56
vec_step-int4,1,1,3,1,0,2,2,1,1,12,0,2
abs_diff-char16,2,8,27,1,8,11,3,1,1,10,0,40
hsub_ushort2,2,1,6,1,1,4,3,1,1,14,0,5
masked_load_char4_with_bounds,2,2,7,1,2,4,3,1,1,14,0,8
vec_step-int8,1,1,3,1,0,2,2,1,1,0,0,2
step_scalar-float2,3,4,13,1,6,9,4,1,1,0,0,19
step_scalar-float3,3,6,17,1,9,12,4,1,1,15,0,28
avg_add_i16_unsigned_vec,3,1,8,1,2,5,4,1,1,0,0,7
step_scalar-float4,3,8,21,1,12,15,4,1,1,3,0,37
convert-short3-float3_rtp,1,2,7,1,3,5,3,1,1,10,0,8
sub-transformations-none-none-halve-uchar-1_pma,2,8,27,1,8,11,3,1,1,3,0,40
convert-short3-float3_rtz,1,2,7,1,3,5,3,1,1,1,0,8
outer_loop_acc_early,3,1,9,3,3,9,4,1,1,3,0,8
sub_sat-uint8,2,8,35,1,16,19,4,1,1,3,0,56
convert-short3-float3_rte,1,2,7,1,3,5,3,1,1,15,0,8
"mul-basic-e , tended-char-char-int_pma",2,4,27,1,16,19,4,1,1,3,0,40
convert-short3-float3_rtn,1,2,7,1,3,5,3,1,1,1,0,8
sub_sat-uint3,2,3,15,1,6,9,4,1,1,15,0,21
sub_sat-uint2,2,2,11,1,4,7,4,1,1,15,0,14
sub_sat-uint4,2,4,19,1,8,11,4,1,1,2,0,28
"native_e , p-float",2,1,5,1,1,3,3,1,1,2,1,4
cmp-basic-short8-1_pma,9,8,22,1,8,10,3,1,1,1,0,35
mul_hi-int,2,4,12,1,7,10,4,1,1,2,0,19
"ma , -short",2,1,6,1,1,4,3,1,1,1,0,5
add_rshift_sat_pos_h_ui,3,8,28,1,8,12,3,1,1,3,0,48
native_cos-float,2,1,5,1,1,3,3,1,1,2,1,4
verification-api-1-negative-pma,2,8,19,1,8,10,3,1,1,3,0,32
min-uchar16,2,8,35,1,16,19,3,1,2,1,0,64
add_rshift_sat_pos_h_uu,3,8,28,1,8,12,3,1,1,3,0,48
accumulate-char16-short16_pma,1,8,18,2,8,18,3,1,1,3,0,24
round-float2,7,5,36,1,26,28,5,1,2,15,0,66
radians-float,2,1,5,1,1,3,3,1,1,8,0,4
"ma , _scalar-float4",2,4,12,1,4,7,3,1,1,9,0,17
"ma , _scalar-float3",2,3,10,1,3,6,3,1,1,15,0,13
"ma , _scalar-float2",2,2,8,1,2,5,3,1,1,1,0,9
convert-float2-char2_rtn,1,2,6,1,2,4,3,1,1,1,0,6
convert-uchar16-int16,4,8,22,1,8,13,3,3,1,4,0,26
convert-float8-char8,1,8,18,1,8,10,3,1,1,1,0,24
mad_sat-ushort,4,1,10,1,2,6,4,1,1,15,0,9
convert-uint3-uchar3,1,4,6,1,0,2,2,1,1,1,0,8
"min-ma , -char-1-wide_pma",2,8,83,1,64,67,5,1,2,3,0,136
convert-ushort4-float4_rtn,1,2,8,1,4,6,3,1,1,15,0,10
convert-ushort4-float4_rte,1,2,8,1,4,6,3,1,1,1,0,10
convert-int-float,1,1,4,1,1,3,3,1,1,1,0,3
convert-ushort4-float4_rtz,1,2,8,1,4,6,3,1,1,3,0,10
convert-ushort4-float4_rtp,1,2,8,1,4,6,3,1,1,1,0,10
convert-short2-ushort2,1,1,3,1,0,2,2,1,1,1,0,2
native_sin-float,2,1,5,1,1,3,3,1,1,15,1,4
convert-int-short,1,1,3,1,0,2,2,1,1,15,0,2
unaligned-store-offset-0-width-1,2,1,6,1,1,4,3,1,1,3,0,5
convert-int16-char16,2,8,19,1,0,3,2,1,1,15,0,32
"mul-hi-mi , ed-uchar-ushort-1_pma",2,8,35,1,16,19,3,1,2,3,0,64
"hadd_noE , tendType_MSBSet_SRA_v2i16",3,2,9,1,3,6,4,1,1,0,0,9
convert-ushort4-uchar4,1,2,4,1,0,2,2,1,1,15,0,4
sub-imm,2,8,19,1,8,10,3,1,1,8,0,32
ceil-float2,1,2,6,1,2,4,3,1,1,15,0,6
iv_cmp_pred_and_actual_use,4,2,15,2,9,13,6,1,1,15,0,15
gather-itr-array2,2,8,27,1,8,11,3,1,1,15,0,40
gather-itr-array1,2,8,19,1,8,10,3,1,1,1,0,32
mul24-int2,3,8,22,1,14,17,5,1,1,15,0,38
mul24-int3,3,12,31,1,21,24,5,1,1,9,0,57
mul24-int4,3,16,40,1,28,31,5,1,1,1,0,76
rotate-short16,2,8,51,1,32,35,4,1,1,1,0,80
mul24-int8,3,32,76,1,56,59,5,1,1,1,0,152
convert-int8-float8,1,8,18,1,8,10,3,1,1,1,0,24
hadd-short,2,1,6,1,1,4,3,1,1,15,0,5
no-consec-dim_pma,2,8,20,1,0,4,2,2,1,15,0,32
vec_step-int,1,1,3,1,0,2,2,1,1,1,0,2
hadd-int,2,1,6,1,1,4,3,1,1,12,0,5
select-int8,3,8,52,1,24,28,4,1,2,15,0,96
clamp-float,3,1,9,1,2,6,4,1,1,15,0,8
i16-acc-abs_diff-short,2,1,6,2,1,5,3,1,1,1,0,5
add-non-imm-1d-int_pma,2,8,19,1,8,10,3,1,1,15,0,32
"cross_loops_accumulation_uma , ",3,2,14,4,5,13,6,1,1,1,0,15
convert-ushort3-short3,1,2,4,1,0,2,2,1,1,12,0,4
clamp-short2_scalar,3,2,11,1,4,8,4,1,1,15,0,13
select-int2,3,2,16,1,6,10,4,1,2,1,0,24
convert-short16-char16,1,8,10,1,0,2,2,1,1,15,0,16
pos-abs-add-char_pma,2,8,67,1,48,51,6,1,1,3,0,88
add-3d_pma,2,8,19,1,8,10,3,1,1,15,0,32
shufflevector-float-one-def-1_pma,1,4,6,1,0,2,2,1,1,0,0,8
iters-for-hoist-int4_pma,4,4,22,1,8,12,3,2,1,0,0,32
degrees-float,2,1,5,1,1,3,3,1,1,14,0,4
pma_acopy_3D2,2,8,19,1,8,10,3,1,1,15,0,32
pma_acopy_3D1,2,8,19,1,8,10,3,1,1,15,0,32
convert-short16-uchar16,1,8,10,1,0,2,2,1,1,1,0,16
rotate-int16,4,8,102,1,64,70,4,2,1,1,0,160
shl-const-non-imm-non-splatted-mask-short_pma,5,4,14,1,4,6,3,1,1,3,0,16
vec_step-uchar,1,1,3,1,0,2,2,1,1,9,0,2
hsub_uchar,2,1,6,1,1,4,3,1,1,3,0,5
convert-int8-float8_rte,1,8,18,1,8,10,3,1,1,1,0,24
mul-cospi-float,2,1,6,1,1,4,3,1,1,1,1,5
mad24-uint2,3,3,18,1,8,12,4,1,1,1,0,28
mad24-uint3,3,4,32,1,16,20,4,1,1,1,0,56
mad24-uint4,3,4,32,1,16,20,4,1,1,1,0,56
mad_hi-ushort16,3,8,52,1,24,28,4,1,1,5,0,88
mad24-uint8,3,8,60,1,32,36,4,1,1,1,0,112
convert-float3-short3,1,3,8,1,3,5,3,1,1,15,0,9
i16-acc-reduce_add-unsigned,2,1,8,2,3,7,4,1,1,0,0,7
"ma , pool_8 , 8_set16",3,32,125,1,88,92,9,2,1,9,0,216
vec_step-uchar2,1,1,3,1,0,2,2,1,1,1,0,2
vec_step-uchar3,1,1,3,1,0,2,2,1,1,15,0,2
vec_step-uchar4,1,1,3,1,0,2,2,1,1,12,0,2
"ma , -uint",2,1,6,1,1,4,3,1,1,12,0,5
vec_step-uchar8,1,1,3,1,0,2,2,1,1,12,0,2
bitselect-char,4,2,12,1,4,8,4,1,1,12,0,12
racc-char8_pma,1,4,9,2,3,7,4,1,1,0,0,11
"iv-select-acc-lt-id , -outerLoop-i16",2,1,6,3,2,8,4,1,1,12,0,5
convert-uchar8-short8,1,4,10,1,4,6,3,1,1,12,0,12
convert-float2-uchar2,1,2,6,1,2,4,3,1,1,1,0,6
median-test_5,2,3,13,2,9,12,5,1,1,3,0,18
sub_sat-uchar16,2,8,59,1,40,43,5,1,2,1,0,104
select-ushort4,3,2,14,1,4,8,3,1,2,1,0,22
select-ushort2,3,2,9,1,2,6,3,1,1,1,0,11
select-ushort3,4,2,15,1,4,8,3,1,2,1,0,23
load_with_2_bounds_same_dim,2,8,27,1,8,11,3,1,1,1,0,40
convert-float4-ushort4_sat,7,4,56,1,44,46,6,1,2,12,0,112
select-ushort8,3,4,24,1,8,12,3,1,2,12,0,44
atan-float2,1,2,6,1,2,4,3,1,1,14,2,6
atan-float3,1,3,8,1,3,5,3,1,1,12,3,9
convert-uint8-uchar8,1,8,10,1,0,2,2,1,1,14,0,16
atan-float4,1,4,10,1,4,6,3,1,1,12,4,12
atan-float8,1,8,18,1,8,10,3,1,1,12,8,24
convert-char4-uchar4,1,1,3,1,0,2,2,1,1,12,0,2
convert-float-ushort_sat_rtp,7,4,20,1,11,13,6,1,1,1,0,28
convert-float-ushort_sat_rtn,7,4,20,1,11,13,6,1,1,3,0,28
convert-uint4-int4,1,4,6,1,0,2,2,1,1,1,0,8
convert-float-ushort_sat_rte,7,4,20,1,11,13,6,1,1,10,0,28
store_2_char_bufs_lo_hi_2,3,4,20,1,8,11,3,1,1,11,0,32
shufflevector-float-1-wide_pma,2,4,11,1,0,3,2,1,1,0,0,16
copysign-float,4,1,10,1,3,6,4,1,1,8,0,9
convert-short4-int4,1,2,8,1,4,6,3,1,1,12,0,10
select-uint,3,2,10,1,3,7,4,1,1,12,0,12
min-char2,2,2,9,1,4,7,4,1,1,12,0,10
min-char3,4,2,16,1,7,11,4,2,1,1,0,18
clamp-uchar8_scalar,4,8,33,1,22,26,5,1,1,3,0,54
min-char4,2,2,15,1,8,11,4,1,1,1,0,20
min-char8,2,4,27,1,16,19,4,1,1,3,0,40
fold-select-into-load-short,2,8,19,1,8,10,3,1,1,1,0,32
scatter-predicated,3,4,29,2,16,28,4,1,2,3,0,50
fp_to_uchar,1,1,4,1,1,3,3,1,1,11,0,3
pos-abs-add-int_pma,2,4,23,1,12,15,4,1,1,0,0,28
memcpy_1D,2,8,19,1,8,10,3,1,1,11,0,32
"ma , -ushort4",2,2,11,1,4,7,3,1,2,2,0,16
"ma , -ushort3",4,2,12,1,3,7,3,2,1,3,0,14
"ma , -ushort2",2,2,7,1,2,5,3,1,1,3,0,8
"i16-acc-uma , ",1,1,4,2,1,4,3,1,1,1,0,3
"ma , -ushort8",2,4,19,1,8,11,3,1,2,1,0,32
convert-uchar16-short16,1,8,18,1,8,10,3,1,1,12,0,24
double_buf,3,4,29,1,21,24,6,1,1,0,1,48
abs-int2,1,2,6,1,2,4,3,1,1,14,0,6
abs-int3,1,3,8,1,3,5,3,1,1,14,0,9
abs-int4,1,4,10,1,4,6,3,1,1,2,0,12
convert-float8-char8_sat_rtp,6,8,95,1,80,82,5,1,2,1,0,208
abs-int8,1,8,18,1,8,10,3,1,1,10,0,24
mul_hi-char2,3,1,8,1,2,5,4,1,1,8,0,7
add_sat-short16,4,16,77,1,56,59,4,1,1,2,0,192
convert-uchar4-float4,1,2,8,1,4,6,3,1,1,15,0,10
mul_hi-char4,3,2,12,1,4,7,4,1,1,15,0,14
convert-uchar8-int8,3,4,12,1,4,7,3,2,1,1,0,13
bilinear-upsample-consts-pma,1,4,11,1,6,9,4,2,1,15,0,15
assert_pass,2,8,19,1,8,10,3,1,1,14,0,32
convert-uint8-int8,1,8,10,1,0,2,2,1,1,1,0,16
convert-ushort16-int16,4,8,14,1,0,5,2,3,1,1,0,18
clamp-char,3,1,12,1,5,9,5,1,1,3,0,11
select-float,3,2,10,1,3,7,4,1,1,1,0,12
convert-float2-short2_sat_rtz,6,4,29,1,20,22,5,1,2,1,0,52
vec_step-uchar16,1,1,3,1,0,2,2,1,1,1,0,2
convert-float2-short2_sat_rtn,6,4,29,1,20,22,5,1,2,2,0,52
convert-uchar2-int2,3,1,6,1,1,4,3,2,1,15,0,4
convert-float2-short2_sat_rte,6,4,29,1,20,22,5,1,2,15,0,52
clamp-ushort16_scalar,3,16,46,1,32,36,4,1,1,15,0,90
select-float3,3,3,22,1,9,13,4,1,2,2,0,36
trunc-float4,1,4,10,1,4,6,3,1,1,15,0,12
trunc-float3,1,3,8,1,3,5,3,1,1,1,0,9
trunc-float2,1,2,6,1,2,4,3,1,1,15,0,6
convert-uchar3-int3,3,2,6,1,0,3,2,2,1,15,0,5
"iv-select-acc-eq-id , -innerLoop-i16",2,1,6,3,2,7,4,1,1,3,0,5
gather-float,2,8,20,1,4,7,5,1,1,0,0,32
convert-int16-float16,2,8,36,1,16,20,3,2,1,1,0,48
rotate-uint,2,2,9,1,4,7,4,1,1,15,0,10
rhadd-short2,3,2,12,1,6,9,4,1,1,15,0,14
rhadd-short3,3,3,17,1,9,12,4,1,1,8,0,22
rhadd-short4,3,4,20,1,12,15,4,1,1,15,0,28
is_iv_in_range,3,2,11,2,3,8,4,1,1,1,0,11
rhadd-short8,3,8,36,1,24,27,4,1,1,15,0,56
convert-ushort8-uchar8,1,4,6,1,0,2,2,1,1,15,0,8
clamp-short_scalar,3,1,9,1,2,6,4,1,1,1,0,8
mul_hi-char16,3,8,36,1,16,19,4,1,1,1,0,56
fdim-float4,2,4,19,1,8,11,4,1,1,0,0,24
scheduleRA-rollback_pma,3,2,46,1,36,40,12,1,2,9,0,80
racc-short16_pma,1,8,18,2,8,11,6,1,2,11,0,32
shl-const-non-imm-non-splatted-mask-int-wide_pma,9,8,26,1,8,10,3,1,1,11,0,32
fdim-float2,2,2,11,1,4,7,4,1,1,1,0,12
fdim-float3,2,3,15,1,6,9,4,1,1,1,0,18
fdim-float8,2,8,35,1,16,19,4,1,1,15,0,48
clamp-uint2_scalar,3,2,12,1,4,8,4,1,1,1,0,14
convert-short8-uchar8,1,4,6,1,0,2,2,1,1,0,0,8
convert-float-int_rtz,1,1,4,1,1,3,3,1,1,0,0,3
mul_hi-short16,2,8,35,1,16,19,3,1,2,9,0,64
bitselect-ushort4,4,2,19,1,8,12,4,1,1,1,0,24
bitselect-ushort2,4,2,12,1,4,8,4,1,1,3,0,12
bitselect-ushort3,5,2,20,1,8,12,4,1,1,0,0,24
convert-char16-int16,3,8,29,1,16,19,3,2,1,12,0,56
bitselect-ushort8,4,4,33,1,16,20,4,1,1,15,0,48
convert-ushort16-char16,1,8,10,1,0,2,2,1,1,15,0,16
sign-float16,4,32,118,1,96,100,4,2,1,1,0,272
convert-short-float_rtn,1,1,4,1,1,3,3,1,1,1,0,3
add-non-imm-1d-short_pma,2,8,19,1,8,10,3,1,1,2,0,32
vec_step-uint,1,1,3,1,0,2,2,1,1,1,0,2
dl-accloop1-known-tc_pma,2,4,15,2,4,8,5,1,1,1,0,20
"mul-basic-mi , ed-short-char-short_pma",2,8,43,1,24,27,4,1,1,2,0,72
upsample-ushort,2,1,5,1,0,3,2,1,1,15,0,4
vec_step-int2,1,1,3,1,0,2,2,1,1,0,0,2
vec_step-int3,1,1,3,1,0,2,2,1,1,12,0,2
pos-abs-add-int-wide_pma,2,8,43,1,24,27,4,1,1,3,0,56
convert-float8-ushort8_rtz,1,8,18,1,8,10,3,1,1,1,0,24
multi-acc-short8_pma,2,4,23,2,12,23,4,1,1,12,0,28
ashr-basic-int-1_pma,2,8,19,1,8,10,3,1,1,1,0,32
min-uint2,2,2,9,1,2,5,3,1,1,15,0,10
min-uint3,2,3,12,1,3,6,3,1,1,1,0,15
convert-float8-ushort8_rtn,1,8,18,1,8,10,3,1,1,9,0,24
clamp-ushort8_scalar,3,8,26,1,16,20,4,1,1,15,0,46
rshift_sat_pos_h_uu,4,8,54,1,16,22,3,2,1,12,0,80
min-uint4,2,4,15,1,4,7,3,1,1,14,0,20
convert-float8-ushort8_rte,1,8,18,1,8,10,3,1,1,12,0,24
convert-float-int_rtn,1,1,4,1,1,3,3,1,1,1,0,3
min-uint8,2,8,27,1,8,11,3,1,1,3,0,40
convert-int2-float2_rtn,11,6,62,1,48,50,9,1,2,1,0,108
bitselect-float2,4,2,19,1,8,12,4,1,1,0,0,24
bitselect-float3,4,3,26,1,12,16,4,1,1,0,0,36
bitselect-float4,4,4,33,1,16,20,4,1,1,1,0,48
bitselect-float8,4,8,61,1,32,36,4,1,1,1,0,96
convert-int2-float2_rte,1,2,6,1,2,4,3,1,1,0,0,6
convert-int2-float2_rtz,8,4,41,1,30,32,7,1,2,1,0,70
convert-ushort8-short8,1,4,6,1,0,2,2,1,1,1,0,8
convert-int2-float2_rtp,11,6,62,1,48,50,9,1,2,2,0,108
pma_acopy_3D2_deprecatedAPI,2,8,19,1,8,10,3,1,1,14,0,32
dl-accloop1_pma,2,4,15,2,4,8,5,1,1,2,0,20
pos-abs-int_pma,2,4,20,1,8,12,3,2,1,1,0,24
hsub_short,2,1,6,1,1,4,3,1,1,12,0,5
step_scalar-float8,3,16,37,1,24,27,4,1,1,3,0,73
rhadd-char3,6,2,18,1,7,11,4,2,1,3,0,18
select-ushort16,3,8,44,1,16,20,3,1,2,0,0,88
add-interlace-1d-short_pma,3,4,16,1,8,10,3,1,1,11,0,28
convert-char8-float8_rtz,2,8,23,1,16,18,5,1,1,0,0,36
convert-short16-float16_rtn,1,8,27,1,16,19,3,2,1,15,0,40
convert-char8-float8_rtp,2,8,23,1,16,18,5,1,1,0,0,36
"store-1-byte- , 2",3,2,8,1,2,5,3,2,1,3,0,7
i16-acc-dot_prod_add,2,1,6,2,1,5,3,1,1,12,0,5
sign-float,3,4,11,1,6,8,4,1,1,9,0,17
convert-short16-float16_rtz,1,8,27,1,16,19,3,2,1,14,0,40
convert-char8-float8_rtn,2,8,23,1,16,18,5,1,1,1,0,36
convert-short16-float16_rtp,1,8,27,1,16,19,3,2,1,15,0,40
convert-uint16-uchar16,2,8,19,1,0,3,2,1,1,14,0,32
convert-char8-float8_rte,2,8,23,1,16,18,5,1,1,15,0,36
add-non-splat-non-imm-1d-int2_pma,3,2,8,1,2,4,3,1,1,11,0,8
native_log10-float4,2,4,15,1,8,10,4,1,1,0,8,20
native_log10-float3,2,3,12,1,6,8,4,1,1,0,6,15
native_log10-float2,2,2,9,1,4,6,4,1,1,0,4,10
convert-char3-float3_rte,2,4,12,1,7,9,5,1,1,0,0,16
abs-diff-int,2,8,27,1,8,11,3,1,1,11,0,40
convert-uchar8-float8_rte,1,4,14,1,8,10,3,1,1,0,0,20
"gather-dynamic-mi , ed-bounds",1,1,5,1,0,3,4,1,1,15,0,4
all-int8,2,8,19,1,8,10,9,1,1,10,0,25
fp_to_ushort,1,1,4,1,1,3,3,1,1,0,0,3
all-int2,2,2,7,1,2,4,4,1,1,1,0,7
convert-uchar8-float8_rtp,1,4,14,1,8,10,3,1,1,12,0,20
all-int4,2,4,11,1,4,6,5,1,1,0,0,13
convert-float4-char4_sat_rtp,6,4,51,1,40,42,5,1,2,10,0,104
convert-float8-ushort8,1,8,18,1,8,10,3,1,1,10,0,24
convert-float4-char4_sat_rtz,6,4,51,1,40,42,5,1,2,10,0,104
gather-char,1,8,19,1,0,3,4,1,1,12,0,32
vec_step-int16,1,1,3,1,0,2,2,1,1,1,0,2
hsub_uchar8,2,4,15,1,4,7,3,1,1,1,0,20
convert-float4-char4_sat_rte,6,4,51,1,40,42,5,1,2,10,0,104
log2-float2,1,2,6,1,2,4,3,1,1,10,2,6
log2-float3,1,3,8,1,3,5,3,1,1,15,3,9
log2-float4,1,4,10,1,4,6,3,1,1,14,4,12
convert-char3-float3_rtn,2,4,12,1,7,9,5,1,1,3,0,16
convert-float4-char4_sat_rtn,6,4,51,1,40,42,5,1,2,3,0,104
add_rshift_sat_pos_h_ii,3,4,16,1,4,8,3,1,1,2,0,24
hadd-char16,3,8,36,1,16,19,4,1,1,3,0,56
rhadd-char16,3,8,44,1,24,27,4,1,1,3,0,64
convert-ushort4-float4,1,2,8,1,4,6,3,1,1,3,0,10
native_log-float3,2,3,12,1,6,8,4,1,1,8,6,15
pma_acopy_2D4_deprecatedAPI,2,8,19,1,8,10,3,1,1,12,0,32
add_rshift_sat_pos_h_iu,3,2,10,1,2,6,3,1,1,1,0,12
convert-uint-char,1,1,3,1,0,2,2,1,1,1,0,2
tBuff-ttl,2,8,19,1,8,10,3,1,1,0,0,32
all-char,4,1,7,1,1,4,3,2,1,1,0,5
bitselect-float,4,2,12,1,4,8,4,1,1,14,0,12
convert-int4-short4,1,4,6,1,0,2,2,1,1,3,0,8
convert-char16-ushort16,1,8,18,1,8,10,3,1,1,3,0,24
mad_hi-short8,3,4,28,1,12,16,4,1,1,3,0,44
mad_hi-short4,3,2,16,1,6,10,4,1,1,8,0,22
convert-float2-int2_sat_rtn,6,4,27,1,18,20,4,1,2,1,0,50
mad_hi-short2,3,2,10,1,3,7,4,1,1,15,0,11
mad_hi-short3,3,2,15,1,5,9,4,1,1,3,0,19
degrees-float2,2,2,7,1,2,4,3,1,1,0,0,8
degrees-float3,2,3,9,1,3,5,3,1,1,3,0,12
degrees-float4,2,4,11,1,4,6,3,1,1,3,0,16
upsample-uchar8,3,4,24,1,12,15,4,1,1,3,0,32
degrees-float8,2,8,19,1,8,10,3,1,1,3,0,32
upsample-uchar4,3,2,14,1,6,9,4,1,1,3,0,16
shl-basic-short-1_pma,2,8,19,1,8,10,3,1,1,14,0,32
upsample-uchar2,3,1,9,1,3,6,4,1,1,15,0,8
upsample-uchar3,4,2,13,1,4,7,4,1,1,15,0,14
build-vector-shuffle-short16_pma,2,7,11,1,0,3,2,1,1,9,0,16
fabs-float2,1,2,6,1,2,4,3,1,1,15,0,6
fabs-float3,1,3,8,1,3,5,3,1,1,15,0,9
fabs-float4,1,4,10,1,4,6,3,1,1,14,0,12
add_low_rshift_sat_pos_b_iu,3,4,16,1,4,8,3,1,1,12,0,24
fabs-float8,1,8,18,1,8,10,3,1,1,3,0,24
vec_step-float16,1,1,3,1,0,2,2,1,1,1,0,2
convert-char3-float3_rtz,2,4,12,1,7,9,5,1,1,8,0,16
or_combine,4,8,25,1,12,15,3,1,1,0,0,44
"ma , pool2",2,8,43,1,24,27,5,1,1,1,0,64
add-non-splat-imm-1d-int4_pma,4,4,12,1,3,5,2,1,1,0,0,14
step-float4,3,8,24,1,12,15,4,1,1,1,0,40
step-float2,3,4,14,1,6,9,4,1,1,1,0,20
step-float3,3,6,19,1,9,12,4,1,1,1,0,30
add-interlace-1d-int_pma,3,4,16,1,8,10,3,1,1,1,0,28
convert-float16-uchar16,2,8,35,1,16,19,3,1,1,15,0,48
step-float8,3,16,44,1,24,27,4,1,1,15,0,80
"ma , -uint4",2,4,15,1,4,7,3,1,1,1,0,20
clamp-uint3_scalar,3,3,15,1,6,10,4,1,1,1,0,20
"ma , -uint2",2,2,9,1,2,5,3,1,1,1,0,10
"ma , -uint3",2,3,12,1,3,6,3,1,1,1,0,15
"ma , -uint8",2,8,27,1,8,11,3,1,1,9,0,40
add-transformations-abs-abs-halve-char-1_pma,2,8,59,1,40,43,5,1,1,2,0,72
convert-uint2-float2_rtp,7,2,28,1,18,20,6,1,2,1,0,42
convert-uint2-float2_rtz,7,2,28,1,18,20,6,1,2,1,0,42
a-plus-b,2,8,27,1,8,11,3,1,1,2,0,40
convert-uint2-float2_rte,1,2,6,1,2,4,3,1,1,15,0,6
"mul-e , p2-float",2,1,6,1,1,4,3,1,1,1,1,5
convert-uint2-float2_rtn,7,2,28,1,18,20,6,1,2,0,0,42
mul_hi-uchar16,3,8,36,1,16,19,4,1,1,15,0,56
convert-uint2-uchar2,1,2,4,1,0,2,2,1,1,0,0,4
hadd-short16,2,8,27,1,8,11,3,1,1,15,0,40
sqrt-mul-float,2,1,6,1,1,4,3,1,1,15,1,5
